ulasan_bersih,emosi,urgensi
printer tidak berfungsi tidak layak jual tolong segera refund,marah,3
earphone datang kabel putus box penyok parah harap proses retur hari ini,marah,3
scanner touchscreen tidak responsif paket datang rusak tidak mau tanggung jawab kapok belanja di sini,marah,3
earphone datang port longgar pengiriman sangat lama mohon tanggung jawab,marah,3
router rusak parah tidak sesuai deskripsi sama sekali minta ganti baru segera,marah,3
kamera layar bergaris komplain diabaikan tolong segera refund sudah bayar ekspres tapi tetap lambat,marah,3
powerbank sudah bekas kurir tidak sopan tidak mau tanggung jawab minta ganti baru segera,marah,3
scanner datang tidak bisa dicharge paket datang rusak saya minta solusi sekarang,marah,3
tv layar bergaris rugi waktu dan uang minta ganti baru segera,marah,3
adapter datang kabel putus paket datang rusak harap proses retur hari ini,marah,3
powerbank datang rusak parah pengiriman sangat lama tolong segera refund,marah,3
saya kecewa mouse mati total diminta bukti bertele tele mohon tanggung jawab,marah,3
speaker bluetooth tidak terbaca di komputer rugi waktu dan uang saya minta solusi sekarang,marah,3
adapter port longgar kualitas jauh di bawah ekspektasi minta ganti baru segera,marah,3
keyboard datang kamera blur status tertahan berhari hari saya minta solusi sekarang,marah,3
modem baterai drop rugi waktu dan uang minta ganti baru segera,marah,3
earphone tidak menyala sudah bayar ekspres tapi tetap lambat akan lapor jika tidak diselesaikan cepat,marah,3
tv datang kamera blur barang datang terlambat banget akan lapor jika tidak diselesaikan cepat,marah,3
speaker bluetooth baterai drop pengiriman sangat lama komplain diabaikan harap proses retur hari ini,marah,3
smartphone baterai drop tidak sesuai deskripsi sama sekali akan lapor jika tidak diselesaikan cepat,marah,3
kabel data rusak parah sudah bayar ekspres tapi tetap lambat kapok belanja di sini,marah,3
flashdisk datang sinyal hilang kurir tidak sopan harap proses retur hari ini,marah,3
speaker bluetooth tidak berfungsi box penyok parah janji refund tapi tidak jelas saya minta solusi sekarang,marah,3
saya kecewa tv tidak sesuai deskripsi penjual tidak responsif tolong segera refund,marah,3
kamera layar bergaris paket hilang di perjalanan tidak mau tanggung jawab akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa router touchscreen tidak responsif penjual tidak responsif harap proses retur hari ini,marah,3
drone datang tidak berfungsi pengiriman sangat lama mohon tanggung jawab,marah,3
keyboard tidak connect bluetooth rugi waktu dan uang minta ganti baru segera,marah,3
earphone datang tidak terbaca di komputer barang datang terlambat banget harap proses retur hari ini,marah,3
headset datang sinyal hilang paket hilang di perjalanan minta ganti baru segera,marah,3
saya kecewa ssd rusak parah penjual tidak responsif harap proses retur hari ini,marah,3
scanner datang rusak parah box penyok parah mohon tanggung jawab,marah,3
saya kecewa mouse layar bergaris janji refund tapi tidak jelas kapok belanja di sini,marah,3
alat elektronik sinyal hilang barang datang terlambat banget diminta bukti bertele tele akan lapor jika tidak diselesaikan cepat,marah,3
microphone sinyal hilang tidak layak jual saya minta solusi sekarang,marah,3
tablet komponen tidak lengkap sudah bayar ekspres tapi tetap lambat tolong segera refund,marah,3
earphone datang kabel putus box penyok parah kapok belanja di sini,marah,3
saya kecewa router layar bergaris diminta bukti bertele tele akan lapor jika tidak diselesaikan cepat,marah,3
router tidak menyala packaging asal asalan akan lapor jika tidak diselesaikan cepat,marah,3
harddisk kabel putus rugi waktu dan uang tolong segera refund,marah,3
router tidak menyala packaging asal asalan tolong segera refund,marah,3
tripod kabel putus tidak mau tanggung jawab saya minta solusi sekarang rugi waktu dan uang,marah,3
mouse datang tidak connect bluetooth box penyok parah mohon tanggung jawab,marah,3
flashdisk datang komponen tidak lengkap barang datang terlambat banget harap proses retur hari ini,marah,3
flashdisk sudah bekas kurir tidak sopan diminta bukti bertele tele akan lapor jika tidak diselesaikan cepat,marah,3
speaker bluetooth tidak sesuai deskripsi baru dipakai sebentar langsung rusak akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa headset baterai drop tidak mau tanggung jawab harap proses retur hari ini,marah,3
ssd cepat panas kurir tidak sopan proses retur dipersulit mohon tanggung jawab,marah,3
printer tidak connect bluetooth pengiriman sangat lama diminta bukti bertele tele akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa adapter tidak terbaca di komputer komplain diabaikan saya minta solusi sekarang,marah,3
modem tidak menyala rugi waktu dan uang saya minta solusi sekarang,marah,3
projector suaranya pecah rugi waktu dan uang harap proses retur hari ini,marah,3
set top box kabel putus diminta bukti bertele tele kapok belanja di sini baru dipakai sebentar langsung rusak,marah,3
speaker bluetooth rusak parah foto dan kenyataan berbeda jauh tolong segera refund,marah,3
smartwatch tidak berfungsi barang datang terlambat banget tidak mau tanggung jawab akan lapor jika tidak diselesaikan cepat,marah,3
smartphone tidak menyala status tertahan berhari hari janji refund tapi tidak jelas minta ganti baru segera,marah,3
harddisk wifi tidak stabil proses retur dipersulit saya minta solusi sekarang kualitas jauh di bawah ekspektasi,marah,3
headset sudah bekas tidak layak jual harap proses retur hari ini,marah,3
speaker bluetooth sudah bekas rugi waktu dan uang akan lapor jika tidak diselesaikan cepat,marah,3
hp datang cepat panas pengiriman sangat lama harap proses retur hari ini,marah,3
ssd port longgar rugi waktu dan uang mohon tanggung jawab,marah,3
headset layar bergaris packaging asal asalan kapok belanja di sini,marah,3
flashdisk touchscreen tidak responsif diminta bukti bertele tele harap proses retur hari ini kualitas jauh di bawah ekspektasi,marah,3
saya kecewa smartwatch tidak bisa dicharge diminta bukti bertele tele kapok belanja di sini,marah,3
harddisk touchscreen tidak responsif janji refund tapi tidak jelas harap proses retur hari ini baru dipakai sebentar langsung rusak,marah,3
kamera layar bergaris tidak mau tanggung jawab harap proses retur hari ini kualitas jauh di bawah ekspektasi,marah,3
smartwatch kamera blur kualitas jauh di bawah ekspektasi tolong segera refund,marah,3
flashdisk tidak sesuai deskripsi komplain diabaikan akan lapor jika tidak diselesaikan cepat baru dipakai sebentar langsung rusak,marah,3
lampu pintar kabel putus barang datang terlambat banget penjual tidak responsif saya minta solusi sekarang,marah,3
tripod touchscreen tidak responsif proses retur dipersulit harap proses retur hari ini tidak layak jual,marah,3
drone datang layar bergaris alamat sudah benar tapi nyasar kapok belanja di sini,marah,3
tv tidak bisa dicharge tidak sesuai deskripsi sama sekali minta ganti baru segera,marah,3
mouse datang sudah bekas paket datang rusak mohon tanggung jawab,marah,3
printer error sistem proses retur dipersulit saya minta solusi sekarang foto dan kenyataan berbeda jauh,marah,3
drone datang touchscreen tidak responsif alamat sudah benar tapi nyasar akan lapor jika tidak diselesaikan cepat,marah,3
printer cepat panas status tertahan berhari hari diminta bukti bertele tele mohon tanggung jawab,marah,3
tripod touchscreen tidak responsif status tertahan berhari hari proses retur dipersulit harap proses retur hari ini,marah,3
powerbank datang sudah bekas paket datang rusak harap proses retur hari ini,marah,3
smartwatch kamera blur box penyok parah komplain diabaikan akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa kabel data port longgar proses retur dipersulit saya minta solusi sekarang,marah,3
kabel data tidak bisa dicharge tidak layak jual tolong segera refund,marah,3
saya kecewa lampu pintar tidak menyala janji refund tapi tidak jelas tolong segera refund,marah,3
saya kecewa kabel data baterai drop penjual tidak responsif harap proses retur hari ini,marah,3
flashdisk wifi tidak stabil paket hilang di perjalanan komplain diabaikan kapok belanja di sini,marah,3
lampu pintar datang rusak parah kurir tidak sopan mohon tanggung jawab,marah,3
mouse layar bergaris tidak layak jual tolong segera refund,marah,3
powerbank datang sinyal hilang paket hilang di perjalanan mohon tanggung jawab,marah,3
kamera cepat panas rugi waktu dan uang harap proses retur hari ini,marah,3
alat elektronik tidak terbaca di komputer foto dan kenyataan berbeda jauh harap proses retur hari ini,marah,3
printer tidak bisa dicharge penjual tidak responsif mohon tanggung jawab packaging asal asalan,marah,3
modem kamera blur proses retur dipersulit kapok belanja di sini foto dan kenyataan berbeda jauh,marah,3
printer cepat panas baru dipakai sebentar langsung rusak harap proses retur hari ini,marah,3
saya kecewa smartphone tidak sesuai deskripsi janji refund tapi tidak jelas kapok belanja di sini,marah,3
printer tidak sesuai deskripsi alamat sudah benar tapi nyasar komplain diabaikan akan lapor jika tidak diselesaikan cepat,marah,3
monitor tidak berfungsi tidak layak jual mohon tanggung jawab,marah,3
saya kecewa alat elektronik tidak terbaca di komputer penjual tidak responsif akan lapor jika tidak diselesaikan cepat,marah,3
printer sinyal hilang paket datang rusak penjual tidak responsif saya minta solusi sekarang,marah,3
monitor touchscreen tidak responsif packaging asal asalan tolong segera refund,marah,3
microphone suaranya pecah tidak layak jual saya minta solusi sekarang,marah,3
hp datang touchscreen tidak responsif pengiriman sangat lama minta ganti baru segera,marah,3
saya kecewa set top box layar bergaris penjual tidak responsif minta ganti baru segera,marah,3
printer sinyal hilang proses retur dipersulit saya minta solusi sekarang packaging asal asalan,marah,3
laptop layar retak tidak mau tanggung jawab tolong segera refund kualitas jauh di bawah ekspektasi,marah,3
saya kecewa harddisk rusak parah proses retur dipersulit tolong segera refund,marah,3
alat elektronik sudah bekas komplain diabaikan minta ganti baru segera tidak layak jual,marah,3
saya kecewa router kamera blur janji refund tapi tidak jelas minta ganti baru segera,marah,3
saya kecewa scanner cepat panas diminta bukti bertele tele tolong segera refund,marah,3
keyboard layar retak foto dan kenyataan berbeda jauh mohon tanggung jawab,marah,3
kabel data sudah bekas packaging asal asalan saya minta solusi sekarang,marah,3
alat elektronik datang layar bergaris paket datang rusak harap proses retur hari ini,marah,3
saya kecewa tripod sudah bekas proses retur dipersulit minta ganti baru segera,marah,3
headset tidak tahu indikator lampu artinya apa tolong respons secepatnya karena sangat membingungkan,bingung,2
modem tidak tahu cara update software tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung powerbank tidak paham kenapa tidak terdeteksi sudah coba beberapa kali tapi hasilnya sama saja,bingung,2
saya bingung smartwatch bingung pengaturan suaranya sudah coba beberapa kali tapi hasilnya sama saja,bingung,2
tidak tahu kenapa tv bingung cara pairing bluetooth mohon bantuan agar bisa digunakan dengan benar,bingung,2
mouse bingung harus tekan tombol yang mana instruksinya tidak detail saya butuh tutorial pemakaian,bingung,2
kamera tidak tahu cara menyambungkan ke laptop manualnya membingungkan sekali semoga ada update firmware untuk memperbaiki ini,bingung,2
flashdisk bingung cara reset alat ini bingung tapi masih ingin mencoba lagi,bingung,2
tidak tahu kenapa headset bingung kenapa layar jadi gelap sendiri butuh penjelasan kenapa bisa seperti ini,bingung,2
kabel data tidak mengerti kenapa tidak bisa charge semoga ada update firmware untuk memperbaiki ini,bingung,2
tidak tahu kenapa charger tidak mengerti kenapa tidak bisa charge butuh penjelasan kenapa bisa seperti ini,bingung,2
charger bingung harus tekan tombol yang mana perlu penjelasan dari penjual,bingung,2
set top box tidak tahu cara menggunakannya harap penjelasan lebih detail dari penjual tolong respons secepatnya karena sangat membingungkan,bingung,2
tidak tahu kenapa smartwatch bingung port nya mana yang dipakai saya butuh tutorial pemakaian,bingung,2
tidak tahu kenapa kamera bingung pengaturan suaranya butuh penjelasan kenapa bisa seperti ini,bingung,2
smartwatch fiturnya tidak jelas fungsinya tolong jelaskan cara penggunaannya,bingung,2
saya bingung kamera bingung pengaturan suaranya tidak ada video tutorial yang sesuai,bingung,2
earphone fiturnya tidak jelas fungsinya saya kira mudah ternyata rumit sekali semoga ada update firmware untuk memperbaiki ini,bingung,2
saya bingung hp bingung kenapa layar jadi gelap sendiri sudah coba beberapa kali tapi hasilnya sama saja,bingung,2
saya bingung ssd bingung harus tekan tombol yang mana tidak ada petunjuk yang jelas di kotak,bingung,2
tv bingung cara reset alat ini instruksinya tidak detail tolong respons secepatnya karena sangat membingungkan,bingung,2
tripod bingung cara reset alat ini tidak ada video tutorial yang sesuai tolong jelaskan cara penggunaannya,bingung,2
tidak tahu kenapa keyboard bingung cara pairing bluetooth harap ada panduan yang lebih jelas,bingung,2
saya bingung monitor tidak tahu cara menyambungkan ke laptop tidak ada video tutorial yang sesuai,bingung,2
tidak tahu kenapa tv tidak tahu cara menghubungkan ke wifi tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung monitor bingung cara pairing bluetooth saya sudah baca panduan tapi tetap tidak mengerti,bingung,2
saya bingung harddisk tidak mengerti kenapa tiba tiba mati tidak tahu apakah ini rusak atau saya yang salah pakai,bingung,2
tidak tahu kenapa alat elektronik tidak tahu cara menyambungkan ke laptop semoga ada update firmware untuk memperbaiki ini,bingung,2
saya bingung kamera tidak mengerti kenapa tiba tiba mati sudah coba beberapa kali tapi hasilnya sama saja,bingung,2
drone tidak mengerti kenapa tidak bisa charge harap segera dibantu agar bisa dipakai,bingung,2
harddisk tidak paham kenapa file tidak terbaca tidak tahu apakah ini rusak atau saya yang salah pakai tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung smartphone bingung tombolnya terlalu banyak harap penjelasan lebih detail dari penjual,bingung,2
saya bingung headset tidak tahu cara menggunakannya saya sudah baca panduan tapi tetap tidak mengerti,bingung,2
drone tidak tahu cara menggunakannya saya kira mudah ternyata rumit sekali harap segera dibantu agar bisa dipakai,bingung,2
saya bingung modem tidak tahu indikator lampu artinya apa tidak ada petunjuk yang jelas di kotak,bingung,2
kamera tidak bisa menemukan menu pengaturan perlu penjelasan dari penjual,bingung,2
ssd tidak tahu kenapa lampunya berkedip terus saya kira mudah ternyata rumit sekali saya butuh tutorial pemakaian,bingung,2
lampu pintar tidak tahu cara menggunakannya tidak tahu apakah ini rusak atau saya yang salah pakai tolong jelaskan cara penggunaannya,bingung,2
adapter tidak tahu cara menggunakannya instruksinya tidak detail mohon bantuan agar bisa digunakan dengan benar,bingung,2
alat elektronik bingung pengaturan suaranya bingung tapi masih ingin mencoba lagi,bingung,2
earphone tidak tahu kenapa alatnya panas sekali semoga ada update firmware untuk memperbaiki ini,bingung,2
kabel data fiturnya tidak jelas fungsinya semoga ada update firmware untuk memperbaiki ini,bingung,2
tidak tahu kenapa adapter tidak mengerti kenapa tiba tiba mati tolong jelaskan cara penggunaannya,bingung,2
saya bingung scanner tidak tahu kenapa alatnya panas sekali tidak tahu apakah ini rusak atau saya yang salah pakai,bingung,2
kabel data tidak tahu kenapa alatnya panas sekali tidak ada petunjuk yang jelas di kotak harap ada panduan yang lebih jelas,bingung,2
tidak tahu kenapa tripod tidak mengerti kenapa tidak connect harap segera dibantu agar bisa dipakai,bingung,2
smartphone tidak tahu cara menggunakannya tolong jelaskan cara penggunaannya,bingung,2
tidak tahu kenapa headset tidak paham kenapa tidak terdeteksi bingung tapi masih ingin mencoba lagi,bingung,2
tidak tahu kenapa smartphone tidak tahu cara update software harap segera dibantu agar bisa dipakai,bingung,2
monitor bingung harus tekan tombol yang mana sudah coba beberapa kali tapi hasilnya sama saja bingung tapi masih ingin mencoba lagi,bingung,2
tablet tidak mengerti kenapa tidak bisa charge harap penjelasan lebih detail dari penjual tolong jelaskan cara penggunaannya,bingung,2
tv tidak tahu cara menghubungkan ke wifi tolong jelaskan cara penggunaannya,bingung,2
monitor tidak bisa menemukan menu pengaturan sudah coba beberapa kali tapi hasilnya sama saja semoga ada update firmware untuk memperbaiki ini,bingung,2
monitor tidak mengerti kenapa tidak connect semoga ada update firmware untuk memperbaiki ini,bingung,2
modem tidak tahu kenapa sinyal sering hilang mohon bantuan agar bisa digunakan dengan benar,bingung,2
tidak tahu kenapa smartwatch tidak tahu cara menggunakannya bingung tapi masih ingin mencoba lagi,bingung,2
tidak tahu kenapa alat elektronik bingung harus tekan tombol yang mana semoga ada update firmware untuk memperbaiki ini,bingung,2
ssd tidak tahu kenapa lampunya berkedip terus instruksinya tidak detail bingung tapi masih ingin mencoba lagi,bingung,2
saya bingung microphone tidak tahu kenapa alatnya panas sekali tidak ada petunjuk yang jelas di kotak,bingung,2
kamera bingung cara nyalainnya bingung tapi masih ingin mencoba lagi,bingung,2
monitor bingung apakah ini normal harap penjelasan lebih detail dari penjual mohon bantuan agar bisa digunakan dengan benar,bingung,2
earphone tidak paham kenapa tidak berfungsi instruksinya tidak detail butuh penjelasan kenapa bisa seperti ini,bingung,2
earphone bingung cara reset alat ini tidak ada petunjuk yang jelas di kotak harap ada panduan yang lebih jelas,bingung,2
drone bingung cara reset alat ini perlu penjelasan dari penjual,bingung,2
laptop tidak tahu kenapa sinyal sering hilang tolong respons secepatnya karena sangat membingungkan,bingung,2
tidak tahu kenapa speaker bluetooth tidak paham kenapa file tidak terbaca harap ada panduan yang lebih jelas,bingung,2
saya bingung drone tidak mengerti kenapa tidak bisa charge tidak ada petunjuk yang jelas di kotak,bingung,2
printer bingung apakah ini normal fiturnya banyak tapi tidak dijelaskan bingung tapi masih ingin mencoba lagi,bingung,2
adapter tidak bisa menemukan menu pengaturan saya sudah baca panduan tapi tetap tidak mengerti butuh penjelasan kenapa bisa seperti ini,bingung,2
set top box tidak mengerti kenapa tidak connect tidak ada video tutorial yang sesuai bingung tapi masih ingin mencoba lagi,bingung,2
saya bingung earphone tidak mengerti kenapa tiba tiba mati saya kira mudah ternyata rumit sekali,bingung,2
kamera bingung cara setting awal instruksinya tidak detail tolong respons secepatnya karena sangat membingungkan,bingung,2
tidak tahu kenapa tablet tidak tahu cara update software butuh penjelasan kenapa bisa seperti ini,bingung,2
saya bingung printer bingung port nya mana yang dipakai tidak tahu apakah ini rusak atau saya yang salah pakai,bingung,2
hp bingung cara pairing bluetooth tolong respons secepatnya karena sangat membingungkan,bingung,2
flashdisk tidak tahu cara menyambungkan ke laptop semoga ada update firmware untuk memperbaiki ini,bingung,2
scanner bingung cara nyalainnya tidak ada video tutorial yang sesuai saya butuh tutorial pemakaian,bingung,2
laptop tidak mengerti kenapa tiba tiba mati manualnya membingungkan sekali harap segera dibantu agar bisa dipakai,bingung,2
monitor tidak mengerti kenapa tiba tiba mati saya butuh tutorial pemakaian,bingung,2
tidak tahu kenapa router bingung harus tekan tombol yang mana semoga ada update firmware untuk memperbaiki ini,bingung,2
tidak tahu kenapa headset tidak paham kenapa tidak berfungsi mohon bantuan agar bisa digunakan dengan benar,bingung,2
projector tidak tahu cara menyambungkan ke laptop manualnya membingungkan sekali perlu penjelasan dari penjual,bingung,2
saya bingung headset bingung cara setting awal harap penjelasan lebih detail dari penjual,bingung,2
tidak tahu kenapa keyboard tidak paham kenapa tidak berfungsi harap segera dibantu agar bisa dipakai,bingung,2
saya bingung scanner bingung port nya mana yang dipakai tidak ada video tutorial yang sesuai,bingung,2
adapter tidak mengerti kenapa tidak connect harap penjelasan lebih detail dari penjual butuh penjelasan kenapa bisa seperti ini,bingung,2
hp tidak tahu kenapa alatnya panas sekali tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung speaker bluetooth bingung cara setting awal saya sudah baca panduan tapi tetap tidak mengerti,bingung,2
keyboard tidak bisa menemukan menu pengaturan instruksinya tidak detail harap segera dibantu agar bisa dipakai,bingung,2
powerbank tidak tahu kenapa baterainya cepat habis saya butuh tutorial pemakaian,bingung,2
keyboard tidak mengerti kenapa tidak connect saya sudah baca panduan tapi tetap tidak mengerti semoga ada update firmware untuk memperbaiki ini,bingung,2
ssd tidak tahu kenapa hasil fotonya buram fiturnya banyak tapi tidak dijelaskan saya butuh tutorial pemakaian,bingung,2
drone bingung tombolnya terlalu banyak saya kira mudah ternyata rumit sekali harap ada panduan yang lebih jelas,bingung,2
scanner tidak tahu cara menyambungkan ke laptop saya butuh tutorial pemakaian,bingung,2
printer tidak mengerti kenapa tiba tiba mati tidak ada video tutorial yang sesuai tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung microphone tidak tahu cara update software instruksinya tidak detail,bingung,2
powerbank bingung kenapa layar jadi gelap sendiri saya sudah baca panduan tapi tetap tidak mengerti harap ada panduan yang lebih jelas,bingung,2
saya bingung tablet tidak tahu kenapa sinyal sering hilang saya kira mudah ternyata rumit sekali,bingung,2
monitor bingung port nya mana yang dipakai semoga ada update firmware untuk memperbaiki ini,bingung,2
tidak tahu kenapa set top box bingung cara setting awal perlu penjelasan dari penjual,bingung,2
earphone tidak tahu cara update software instruksinya tidak detail perlu penjelasan dari penjual,bingung,2
saya bingung tablet tidak tahu cara menghubungkan ke wifi instruksinya tidak detail,bingung,2
flashdisk bingung kenapa suara jadi kecil harap ada panduan yang lebih jelas,bingung,2
smartphone tidak tahu kenapa baterainya cepat habis manualnya membingungkan sekali saya butuh tutorial pemakaian,bingung,2
smartphone tidak tahu kenapa lampunya berkedip terus tidak ada petunjuk yang jelas di kotak semoga ada update firmware untuk memperbaiki ini,bingung,2
tidak tahu kenapa keyboard tidak tahu bedanya mode satu dan dua butuh penjelasan kenapa bisa seperti ini,bingung,2
saya bingung hp bingung port nya mana yang dipakai harap penjelasan lebih detail dari penjual,bingung,2
tidak tahu kenapa powerbank bingung cara nyalainnya harap segera dibantu agar bisa dipakai,bingung,2
kabel data bingung cara pairing bluetooth perlu penjelasan dari penjual,bingung,2
printer bingung port nya mana yang dipakai tidak ada petunjuk yang jelas di kotak harap ada panduan yang lebih jelas,bingung,2
tripod bingung port nya mana yang dipakai saya sudah baca panduan tapi tetap tidak mengerti semoga ada update firmware untuk memperbaiki ini,bingung,2
earphone tidak mengerti kenapa tiba tiba mati butuh penjelasan kenapa bisa seperti ini,bingung,2
monitor tidak mengerti kenapa tiba tiba mati sudah coba beberapa kali tapi hasilnya sama saja perlu penjelasan dari penjual,bingung,2
saya bingung flashdisk tidak tahu cara menggunakannya tidak tahu apakah ini rusak atau saya yang salah pakai,bingung,2
projector tidak tahu bedanya mode satu dan dua saya kira mudah ternyata rumit sekali tolong respons secepatnya karena sangat membingungkan,bingung,2
tidak tahu kenapa microphone tidak bisa menemukan menu pengaturan semoga ada update firmware untuk memperbaiki ini,bingung,2
alat elektronik tidak bisa menemukan menu pengaturan perlu penjelasan dari penjual,bingung,2
tidak tahu kenapa scanner tidak tahu indikator lampu artinya apa butuh penjelasan kenapa bisa seperti ini,bingung,2
saya bingung earphone tidak tahu cara menyambungkan ke laptop sudah coba beberapa kali tapi hasilnya sama saja,bingung,2
tripod tidak tahu kenapa alatnya panas sekali harap penjelasan lebih detail dari penjual saya butuh tutorial pemakaian,bingung,2
saya bingung laptop bingung cara nyalainnya tidak ada video tutorial yang sesuai,bingung,2
scanner bingung kenapa suara jadi kecil sudah coba beberapa kali tapi hasilnya sama saja saya butuh tutorial pemakaian,bingung,2
saya bingung earphone tidak paham kenapa tidak terdeteksi manualnya membingungkan sekali,bingung,2
drone tidak mengerti kenapa tiba tiba mati sudah coba beberapa kali tapi hasilnya sama saja perlu penjelasan dari penjual,bingung,2
saya bingung mouse tidak tahu kenapa alatnya panas sekali saya kira mudah ternyata rumit sekali,bingung,2
smartwatch tidak tahu cara menghubungkan ke wifi tidak tahu apakah ini rusak atau saya yang salah pakai harap ada panduan yang lebih jelas,bingung,2
scanner bingung cara nyalainnya harap penjelasan lebih detail dari penjual mohon bantuan agar bisa digunakan dengan benar,bingung,2
tidak tahu kenapa microphone tidak tahu bedanya mode satu dan dua tolong jelaskan cara penggunaannya,bingung,2
drone bingung tombolnya terlalu banyak butuh penjelasan kenapa bisa seperti ini,bingung,2
tablet bingung kenapa layar jadi gelap sendiri bingung tapi masih ingin mencoba lagi,bingung,2
headset tidak tahu indikator lampu artinya apa butuh penjelasan kenapa bisa seperti ini,bingung,2
tidak tahu kenapa kabel data tidak tahu kenapa alatnya panas sekali mohon bantuan agar bisa digunakan dengan benar,bingung,2
tidak tahu kenapa smartwatch tidak paham kenapa tidak berfungsi tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung set top box tidak paham kenapa tidak berfungsi harap penjelasan lebih detail dari penjual,bingung,2
tidak tahu kenapa alat elektronik tidak paham kenapa tidak berfungsi bingung tapi masih ingin mencoba lagi,bingung,2
adapter bingung kenapa layar jadi gelap sendiri sudah coba beberapa kali tapi hasilnya sama saja tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung tablet bingung harus tekan tombol yang mana sudah coba beberapa kali tapi hasilnya sama saja,bingung,2
flashdisk bingung pengaturan suaranya manualnya membingungkan sekali bingung tapi masih ingin mencoba lagi,bingung,2
charger tidak tahu kenapa sinyal sering hilang harap penjelasan lebih detail dari penjual butuh penjelasan kenapa bisa seperti ini,bingung,2
smartwatch tidak tahu cara update software perlu penjelasan dari penjual,bingung,2
alat elektronik bingung port nya mana yang dipakai instruksinya tidak detail tolong respons secepatnya karena sangat membingungkan,bingung,2
adapter tidak tahu kenapa lampunya berkedip terus butuh penjelasan kenapa bisa seperti ini,bingung,2
saya bingung tripod tidak paham kenapa file tidak terbaca saya kira mudah ternyata rumit sekali,bingung,2
lampu pintar tidak tahu bedanya mode satu dan dua harap penjelasan lebih detail dari penjual saya butuh tutorial pemakaian,bingung,2
harddisk bingung cara nyalainnya tidak ada video tutorial yang sesuai harap ada panduan yang lebih jelas,bingung,2
tidak tahu kenapa projector tidak tahu cara update software semoga ada update firmware untuk memperbaiki ini,bingung,2
flashdisk bingung cara pairing bluetooth manualnya membingungkan sekali harap segera dibantu agar bisa dipakai,bingung,2
tidak tahu kenapa hp tidak tahu cara menyambungkan ke laptop tolong respons secepatnya karena sangat membingungkan,bingung,2
saya bingung flashdisk tidak mengerti kenapa tiba tiba mati tidak tahu apakah ini rusak atau saya yang salah pakai,bingung,2
ssd tidak tahu bedanya mode satu dan dua instruksinya tidak detail semoga ada update firmware untuk memperbaiki ini,bingung,2
tidak tahu kenapa keyboard tidak bisa menemukan menu pengaturan harap segera dibantu agar bisa dipakai,bingung,2
lampu pintar tidak tahu kenapa baterainya cepat habis tidak ada petunjuk yang jelas di kotak harap segera dibantu agar bisa dipakai,bingung,2
saya bingung drone tidak tahu cara menyambungkan ke laptop saya kira mudah ternyata rumit sekali,bingung,2
charger tidak paham kenapa file tidak terbaca tidak ada video tutorial yang sesuai tolong jelaskan cara penggunaannya,bingung,2
laptop tidak paham kenapa file tidak terbaca bingung tapi masih ingin mencoba lagi,bingung,2
adapter tidak mengerti kenapa tidak bisa charge semoga ada update firmware untuk memperbaiki ini,bingung,2
laptop tidak tahu kenapa alatnya panas sekali tidak ada video tutorial yang sesuai tolong jelaskan cara penggunaannya,bingung,2
tidak tahu kenapa tablet tidak tahu kenapa lampunya berkedip terus saya butuh tutorial pemakaian,bingung,2
hp tidak tahu cara menyambungkan ke laptop tolong respons secepatnya karena sangat membingungkan,bingung,2
tablet tidak tahu cara menyambungkan ke laptop harap penjelasan lebih detail dari penjual semoga ada update firmware untuk memperbaiki ini,bingung,2
powerbank bingung cara reset alat ini instruksinya tidak detail tolong jelaskan cara penggunaannya,bingung,2
saya bingung alat elektronik tidak tahu cara update software harap penjelasan lebih detail dari penjual,bingung,2
harddisk tidak paham kenapa tidak terdeteksi bingung tapi masih ingin mencoba lagi,bingung,2
set top box tidak mengerti kenapa tidak connect instruksinya tidak detail harap segera dibantu agar bisa dipakai,bingung,2
ssd tidak tahu bedanya mode satu dan dua tidak ada petunjuk yang jelas di kotak tolong jelaskan cara penggunaannya,bingung,2
earphone fiturnya tidak jelas fungsinya saya kira mudah ternyata rumit sekali bingung tapi masih ingin mencoba lagi,bingung,2
tidak tahu kenapa tv bingung pengaturan suaranya saya butuh tutorial pemakaian,bingung,2
printer tidak mengerti kenapa tiba tiba mati tidak tahu apakah ini rusak atau saya yang salah pakai perlu penjelasan dari penjual,bingung,2
drone bingung apakah ini normal harap penjelasan lebih detail dari penjual butuh penjelasan kenapa bisa seperti ini,bingung,2
speaker bluetooth bingung apakah ini normal instruksinya tidak detail semoga ada update firmware untuk memperbaiki ini,bingung,2
saya bingung adapter bingung apakah ini normal tidak ada video tutorial yang sesuai,bingung,2
set top box tidak bisa menemukan menu pengaturan perlu penjelasan dari penjual,bingung,2
laptop bingung cara reset alat ini harap ada panduan yang lebih jelas,bingung,2
